student_id,avg_attempts,eoc_crct/poss,eoc_crct/atmp,n_possible,n_correct,n_attempt,n_na,avg_cost,avg_expectance,avg_intrinsic,avg_utility
988aaef5-55d8-4efd-a2aa-8a17e687965e,1.54,0.612,0.397,85,52,131,28,2.75,4.6,4.8,4.8
bb3d0834-83be-4158-8d8e-6230178074a8,1.29,0.265,0.206,98,26,126,29,4.25,4.2,4.2,4.2
c985759c-1ed2-4964-8c29-e17a0844e44a,2.17,0.696,0.321,115,80,249,36,4,4.33,4.67,4.67
0556b794-cd80-4af6-8cfa-8055462c215a,1.14,0.644,0.567,59,38,67,4,2.36,4.82,5.45,5.27
062f021e-8297-41e6-a8fe-54a382ab7404,1.62,0.662,0.408,74,49,120,4,5.27,2.36,2.91,3.64
0d8dff90-f271-49ee-8e0e-cf7e83c7de61,1.18,0.787,0.667,61,48,72,7,2.09,5.09,4.88,5.18
0f109cdd-f04e-4799-9a83-39ccebf8b171,1.23,0.813,0.658,64,52,79,4,1.09,5.91,5.91,5.82
0f122889-830d-40c1-a6f8-f432cb327190,1.19,0.742,0.622,62,46,74,4,2.27,4.36,3.82,4.09
32683ad9-2845-4977-9912-2c59bf0f6aa6,1.49,0.375,0.252,72,27,107,8,2.5,3.9,4.7,4.5
3cc14c3e-8586-4017-80c1-152954ebbe2a,1.19,0.774,0.649,62,48,74,4,2.64,4.91,6,5.45
41422302-20a7-417e-88ea-3b29631a418d,1.64,0.6,0.366,75,45,123,5,2,4.73,4.7,4.73
4877fc0b-61be-404d-b1cf-bfa0e547feca,1.18,0.645,0.548,62,40,73,5,2.45,4.55,4.9,4.91
4ca965ca-1794-4f5f-a14a-4a0ba41137d3,1.51,0.411,0.273,73,30,110,4,2.45,2,2.09,2.18
53af77c6-6730-4c74-beb0-f717439e6e5a,2.01,0.686,0.341,102,70,205,36,2.67,4.67,3.33,4.67
5f61c579-eaf0-4acd-ab54-b4143887a30e,1.16,0.639,0.549,61,39,71,4,1.91,5.36,5.36,5.64
667f325c-12ee-4b85-807c-fe69fa3d92bb,1.75,0.52,0.298,75,39,131,8,2.8,4.5,3.3,3.7
78ccab12-8733-4772-a2e0-17c7e68a69d6,1.64,0.583,0.356,72,42,118,4,1,5.91,5.91,5.91
7a2cff82-cc76-44d0-bba7-0c8952982990,1.22,0.656,0.538,64,42,78,5,3.45,4.55,4.2,4.36
7d467286-5c8a-40db-ace7-9f15e7f97d4d,1.21,0.333,0.276,63,21,76,4,2.09,4.73,5,4.91
7d7a5092-b244-44a2-a776-3bb2c8d5a80f,1.15,0.6,0.522,60,36,69,5,3.55,3.45,3.5,3.36
82a3e3eb-3f80-48b6-a55c-986cc1d0a709,1.16,0.738,0.634,61,45,71,8,2.7,5,4.9,4.9
85d5058c-53e9-49b1-8475-d3df2336b0ff,1.14,0.847,0.746,59,50,67,4,2.64,4.82,5.18,4.82
a3ac1e2d-7dc6-4ff1-a8df-bb6ff0f52e67,1.19,0.581,0.486,62,36,74,4,3.82,4.27,4.27,4.36
c7bb202e-6a69-4a84-9814-e55e6bd6d54b,1.16,0.885,0.761,61,54,71,6,2,5,4.33,4.09
e0341b71-28a9-448e-b0a7-0e8efbbdad65,1.14,0.814,0.716,59,48,67,5,2.09,4.82,4.9,5.09
f1733a31-055f-4c38-92c1-3f294ba94c35,1.24,0.825,0.667,63,52,78,4,2.45,4.45,5,4.82
f52bcfe1-c230-4093-ae99-c46781171178,1.14,0.746,0.657,59,44,67,4,1.82,5.09,6,6
5098bdf5-4c55-4c17-be39-21bd88ad1a2b,1.16,0.855,0.736,62,53,72,4,1.73,5.27,5.18,5.18
5e037301-b06b-4b91-896b-fa411d055f7e,1.13,0.279,0.246,61,17,69,0,3.83,4.08,3.92,4
7586f20a-8b0e-4467-8280-f68cbd64d1b0,1.15,0.557,0.486,61,34,70,1,3.73,4.17,4.17,4.42
11eabd81-c391-4201-9c16-166286778096,1.26,0.754,0.598,69,52,87,0,3,4.83,5.08,5.17
33106cf9-22dc-45d0-847d-8465c6303a57,1.19,0.841,0.707,63,53,75,1,2.08,5.08,4.45,5.17
